"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","05-Sep-2014","       2584.75","       2599.90","       2621.80","       2583.05","       2595.50","       2598.60","       2600.27","     733530","          1907374591.90","      45025","     463954","         63.25"
"TCS","EQ","08-Sep-2014","       2598.60","       2612.00","       2650.00","       2599.05","       2640.00","       2642.70","       2629.44","     848671","          2231530147.55","      41269","     569348","         67.09"
"TCS","EQ","09-Sep-2014","       2642.70","       2652.00","       2667.00","       2625.10","       2631.00","       2631.25","       2639.63","     709049","          1871629557.00","      35859","     470036","         66.29"
"TCS","EQ","10-Sep-2014","       2631.25","       2638.00","       2642.75","       2591.20","       2609.10","       2600.15","       2618.31","     629384","          1647923415.10","      37937","     447877","         71.16"
"TCS","EQ","11-Sep-2014","       2600.15","       2610.00","       2624.40","       2591.50","       2599.00","       2598.35","       2603.76","     537811","          1400332124.35","      27555","     281754","         52.39"
"TCS","EQ","12-Sep-2014","       2598.35","       2610.00","       2624.35","       2593.20","       2609.85","       2607.60","       2609.08","     598105","          1560503897.50","      27279","     311321","         52.05"
"TCS","EQ","15-Sep-2014","       2607.60","       2614.00","       2618.60","       2554.00","       2559.95","       2558.30","       2570.41","     575772","          1479968914.15","      33049","     367013","         63.74"
"TCS","EQ","16-Sep-2014","       2558.30","       2566.00","       2575.00","       2544.00","       2557.05","       2550.85","       2556.67","     767804","          1963022809.65","      40518","     482407","         62.83"
"TCS","EQ","17-Sep-2014","       2550.85","       2561.00","       2604.75","       2561.00","       2591.00","       2591.20","       2586.58","     828850","          2143884276.25","      42962","     432239","         52.15"
"TCS","EQ","18-Sep-2014","       2591.20","       2591.70","       2651.80","       2581.00","       2631.00","       2642.30","       2627.39","     741539","          1948309008.40","      54613","     388301","         52.36"
"TCS","EQ","19-Sep-2014","       2642.30","       2643.00","       2740.00","       2642.00","       2700.00","       2714.20","       2709.79","    1793932","          4861171453.10","      73423","    1113886","         62.09"
"TCS","EQ","22-Sep-2014","       2714.20","       2714.00","       2734.00","       2676.25","       2728.00","       2721.80","       2701.84","     499792","          1350359104.80","      28046","     274554","         54.93"
"TCS","EQ","23-Sep-2014","       2721.80","       2724.00","       2782.45","       2683.30","       2694.00","       2688.20","       2721.78","    1027995","          2797979202.85","      60907","     598698","         58.24"
"TCS","EQ","24-Sep-2014","       2688.20","       2693.00","       2706.95","       2632.75","       2651.25","       2643.00","       2657.07","    1221066","          3244459324.70","      64331","     870004","         71.25"
"TCS","EQ","25-Sep-2014","       2643.00","       2660.95","       2725.00","       2660.00","       2715.00","       2708.60","       2700.87","    1236579","          3339833760.95","      76112","     798977","         64.61"
"TCS","EQ","26-Sep-2014","       2708.60","       2710.00","       2724.90","       2670.10","       2685.00","       2684.00","       2691.15","     806356","          2170025458.65","      65860","     550843","         68.31"
"TCS","EQ","29-Sep-2014","       2684.00","       2695.40","       2775.45","       2675.30","       2774.00","       2767.95","       2750.48","    1044767","          2873608677.40","      54935","     670864","         64.21"
"TCS","EQ","30-Sep-2014","       2767.95","       2772.95","       2776.65","       2708.15","       2736.95","       2736.60","       2739.08","    1394477","          3819587326.25","      78318","     764302","         54.81"
"TCS","EQ","01-Oct-2014","       2736.60","       2752.00","       2802.00","       2737.00","       2775.00","       2775.60","       2779.31","    1071011","          2976671886.85","      67777","     585525","         54.67"
"TCS","EQ","07-Oct-2014","       2775.60","       2739.60","       2839.70","       2725.60","       2730.90","       2731.35","       2773.63","    1728837","          4795149568.25","      86959","    1188774","         68.76"
"TCS","EQ","08-Oct-2014","       2731.35","       2738.00","       2739.95","       2649.25","       2688.00","       2683.20","       2680.59","     981221","          2630253885.90","      66807","     595170","         60.66"
"TCS","EQ","09-Oct-2014","       2683.20","       2708.00","       2723.30","       2686.50","       2710.10","       2706.05","       2706.30","     842588","          2280292569.10","      38100","     466725","         55.39"
"TCS","EQ","10-Oct-2014","       2706.05","       2706.00","       2727.45","       2668.50","       2679.00","       2678.50","       2694.64","    1172181","          3158600895.70","      57838","     594794","         50.74"
"TCS","EQ","13-Oct-2014","       2678.50","       2680.00","       2724.80","       2670.00","       2718.20","       2716.55","       2708.46","    1104766","          2992219608.30","      63544","     596246","         53.97"
"TCS","EQ","14-Oct-2014","       2716.55","       2730.00","       2735.70","       2678.80","       2702.25","       2699.20","       2697.82","    1184703","          3196116356.80","      75961","     717744","         60.58"
"TCS","EQ","16-Oct-2014","       2699.20","       2730.00","       2758.60","       2664.25","       2680.45","       2678.10","       2716.58","    1924007","          5226717844.80","     103718","    1063717","         55.29"
"TCS","EQ","17-Oct-2014","       2678.10","       2475.00","       2511.35","       2430.00","       2433.00","       2441.15","       2470.11","    4946406","         12218158512.65","     234927","    2685559","         54.29"
"TCS","EQ","20-Oct-2014","       2441.15","       2490.00","       2493.60","       2417.95","       2425.50","       2423.30","       2441.15","    1699621","          4149023854.95","      92248","    1042695","         61.35"
